ano,valor_a,valor_b
2008,0.0,15.5
2009,56.0,25.6
2010,65.0,29.8
2011,71.0,32.3
2012,64.0,31.7
2013,64.0,28.4
2014,69.0,31.6
2015,81.0,35.5
