ano,valor_a,valor_b
2004,13.6,12.3
2005,11.6,11.0
2006,10.2,8.7
2007,8.5,7.5
2008,7.8,7.9
2009,8.7,7.5
2010,7.7,7.8
2011,7.2,7.3
2012,7.2,7.2
