ano,valor_a,valor_b
2014,80.0,10.8
2015,53.0,12.4
2016,50.0,13.1
2017,53.0,14.0
2018,52.0,13.3
2019,36.0,14.8
2020,0.0,16.4
2021,0.0,17.0
